1,4052,betaveros
2,4022,ecnerwala
3,3784,goffrie
4,3570,Kevin Sun
5,3180,hyper-neutrino
6,3125,(anonymous user #1510407)
7,2947,Robert Xiao
8,2888,Brandon Lin
9,2776,mserrano
10,2764,tckmn
11,2619,jonathanpaulson
12,2590,aleksejspopovs
13,2588,xnkvbo
14,2481,dan-simon
15,2424,Antonio Molina
16,2362,leijurv
17,2361,Vladislav Isenbaev
18,2336,Tom Holmes
19,2158,bluepichu
20,2088,Lewin Gan
21,2080,nthistle
22,2076,Carl Schildkraut
23,2074,Nathan Fenner
24,2069,mrphlip
25,2027,mcpower
26,2014,D. Salgado
27,1891,Neal Wu
28,1874,Oskar Haarklou Veileborg
29,1803,ZED.Charley William Thairo
30,1677,Anish Singhani
31,1601,PikMike
32,1547,5space
33,1481,Tris Emmy Wilson
34,1476,Superluminal Lag
35,1464,Jimmy Mårdell
36,1448,LegionMammal978
37,1444,Zeyu Chen
38,1442,Golovanov399
39,1433,Oliver Ni
40,1411,Joshua Chen
41,1366,dtinth
42,1334,peter50216
43,1322,Maxwell Zen
44,1263,arknave
45,1252,Tim Vermeulen
46,1241,Henry X
47,1232,Craig Gidney
48,1228,T6
49,1210,William Tsin
50,1195,bjebert
51,1150,Zack Lee
52,1140,connorjayr
53,1136,jebouin
54,1084,btnlq
55,1068,Ryan Hitchman
56,1020,Ritwin Narra
57,1004,msullivan
58,995,Ian DeHaan
59,984,bcc32
60,979,Yosuke Sameshima
61,973,boboquack
62,972,Markus Himmel
63,970,Thomas Feld
64,963,etotheipi1
65,962,ruuddotorg
66,959,kevinmchung
66,959,hughcoleman
68,925,Gabriel Wu
69,923,Steven Hao
70,918,petertseng
71,913,Erik Amirell Eklöf
72,892,SheepTester
73,888,scanhex
74,884,glguy
75,883,Epiphane
76,880,SanguineChameleon
77,871,Larry
78,849,Waffle
79,829,Erik Szalay
80,828,Xavier Cooney
81,827,qpwoeirut
82,821,Roman Elizarov
83,816,nim-ka
84,810,drebelsky
85,806,Max Murin
85,806,Alice 👩‍🎓 🌸
87,789,Benedikt Werner
88,786,rhendric
89,779,alcatrazEscapee
90,772,Måns Magnusson
91,767,Joseph Durie
92,758,mayoff
93,751,Nick Gavalas
94,749,int-e
95,743,Kevin Sheng
96,736,GregorKikelj
97,735,Yoshiap
98,707,FillyAutomatic
99,703,Adib Surani
100,689,Kevin Yap
101,661,ast-ral
102,659,KevinL10
103,638,awychong
104,635,Evan Zhang
105,616,(anonymous user #516724)
106,614,VasilyDK
107,609,Kroppeb
108,586,liouzhou_101
109,581,David Robinson
110,578,Tom Sirgedas
111,570,Patrick Hogg
112,566,(anonymous user #60233)
112,566,RedwolfPrograms
114,560,Springo
115,556,(anonymous user #1760732)
116,548,Tanner Hoke
117,547,vstrimaitis
118,537,0e4ef622
119,529,Alexander Haupt
120,514,Exaphis
121,511,Jared Hughes
121,511,George Hotz
123,500,Paul Draper
124,499,val tron
125,493,Balint R
126,481,alexirpan
127,469,Md Abedin
128,467,dmed256
129,464,Kye W. Shi
130,463,Joshua Wise
131,462,Manish Kundu
132,454,asottile
133,448,Matt Gruskin
134,446,seligman99
135,441,mniip
136,438,Defelo
136,438,Tomas Rokicki
138,416,(anonymous user #1525144)
138,416,Joey Marianer
140,410,Søren Fuglede Jørgensen
140,410,Alex Oro
142,408,(anonymous user #1539845)
143,407,progheal
144,390,jaspercb
145,385,Joe L.
146,384,grawlixes
147,383,Sam Shideler
147,383,aropan
149,382,Virgile Andreani
