1,4345,betaveros
2,3960,ecnerwala
3,3805,xiaowuc1
4,3566,(anonymous user #193354)
5,3544,goffrie
6,3537,Robert Xiao
7,3331,tckmn
8,3088,Sophie Alpert
9,3073,nthistle
10,2952,Kevin Sun
11,2763,hyper-neutrino
12,2557,arknave
13,2493,bluepichu
14,2444,leijurv
15,2398,jonathanpaulson
16,2342,Antonio Molina
17,2335,Lewin Gan
18,2297,Nathan Fenner
19,2284,D. Salgado
20,2271,m-schm
21,2233,Christopher Lambert
22,2109,mcpower
23,2081,Ethan Guo
24,2041,Pi-Hsun Shih
25,1948,Brandon Lin
26,1893,Vladislav Isenbaev
27,1881,huzecong
28,1867,Martin Camacho
29,1846,Carl Schildkraut
30,1768,George Hotz
31,1685,Anish Singhani
32,1639,mserrano
33,1633,ZED.Charley William Thairo
34,1580,(anonymous user #798131)
35,1540,petertseng
36,1488,Oliver Ni
37,1480,Zack Chroman
38,1399,Linus Hamilton
39,1379,dan-simon
40,1360,sciyoshi
41,1352,Fengyang Wang
42,1346,Tom Holmes
43,1341,boboquack
44,1280,div er
45,1274,Zeyu Chen
46,1266,Nitrate_
47,1219,Neal Wu
48,1190,Shik Chen
49,1188,Tim Vermeulen
50,1167,noblematt
51,1163,Uwi Tenpen
52,1157,hltk
53,1131,jtbandes
54,1011,Kye W. Shi
55,1008,smrq
56,984,hughcoleman
57,978,val tron
58,950,Søren Fuglede Jørgensen
59,945,iTODDLERS-BTFO
60,932,kevinmchung
61,929,Tris Emmy Wilson
62,924,5space
63,921,William Tsin
64,898,Ian DeHaan
65,889,orez-
66,888,Lyndon Fan
67,875,Alex Quach
68,874,(anonymous user #44119)
69,851,LegionMammal978
70,823,msg555
71,821,Pandu Rendradjaja
72,811,Jimmy Mårdell
73,808,Jay Foad
74,802,Maarten van der Zwaart
75,801,mrphlip
76,797,Greg d'Eon
77,794,connorjayr
78,789,Lovemathboy H
79,786,Lukas Gelbmann
80,782,RacecarAssassinSona
81,775,crazymerlyn
82,757,Mathias Bæk Tejs Langhede
