1,4015,Kevin Wang
2,3379,petertseng
3,3197,Andrew Skalski
4,2858,orez-
5,2757,Paul Wild
6,2628,xiaowuc1
7,2624,Pedro Osório
8,2601,Robert Xiao
9,2596,DjinnKahn
10,2563,Tris Emmy Wilson
11,2546,Kevin Yap
12,2518,(anonymous user #119362)
13,2462,Samuel Damashek
14,2444,glguy
15,2393,SimonPrins
16,2222,arknave
17,2175,Kenny K
18,2172,drysle
19,2140,Anthony Nguyen
20,2026,Keegan Carruthers-Smith
21,1998,Michael C. Martin
22,1991,gzgreg
23,1942,tpospisi
24,1922,Stephen
25,1916,(anonymous user #8336)
26,1900,etotheipi1
27,1877,Peter Ruibal
28,1840,Brandon Zhang
29,1832,Colin Liotta
30,1816,Ji An Yang
31,1809,Daniel Tomkins
32,1803,Igor Naverniouk
33,1727,Daniel Rejment
34,1721,kristjan
35,1712,Austin
36,1631,jneubrand
37,1613,Lance Nathan
38,1595,msullivan
38,1595,Jay Foad
40,1499,blockingthesky
41,1480,drougge
42,1464,CJ Guttormsson
43,1426,Stuart MacGillivray
44,1422,Conrad Meyer
45,1372,marcusstuhr
46,1343,Joshua Berne
47,1339,RidgeX
48,1333,jamesk727
49,1313,Harrison Weigel
50,1309,GlenboLake
51,1303,alokmenghrajani
52,1301,Benoit Hiller
53,1280,HookyQR
54,1255,malisper
55,1237,Bill King
56,1225,jtbandes
57,1223,Jeremy Rans
58,1211,Roderic Day
59,1205,Paige Ruten
60,1186,wmorganjr
61,1181,Toni Fadjukoff
62,1179,fnuttplus
63,1173,jacekrobak
64,1163,Matt Boehm
65,1157,Kevin Vick
66,1146,samczsun
67,1137,Joe LeGasse
68,1131,Ben Blum
69,1114,Matt Bradley
70,1085,LK
71,1084,DeathWalrus
72,1081,gchan
73,1076,Emily Dobervich
74,1058,Will Killian
75,1056,Tom Quinn
76,1049,batneil
77,1037,mserrano
78,1000,Ago Luberg
79,999,perimosocordiae
80,995,ahorner
81,956,Michael Berman
82,948,ephemient
83,942,Chris Penner
84,923,Daniel Gollahon
85,893,Peter Berczi
86,885,flyee
87,882,Niak
88,881,N Murdoch
89,879,Tomasz Pawicki
89,879,Becojo
91,876,Måns Magnusson
92,868,(anonymous user #60233)
93,865,zgrep
94,861,Talchas
95,851,balidani
95,851,Tyson Boucher
97,849,itizir
98,845,Scott Peters
99,832,@CHz16
100,831,Chris Mohr
101,824,Springo
102,817,AdamHerrmann
103,810,Antti Haapala
104,807,Ed Fowle
105,790,mofr
106,786,wim glenn
107,758,lukechampine
107,758,minno726
107,758,Addy
110,737,Alex Crimi
111,730,Kevin Brown
112,719,Ed Schache
113,710,Arios16
114,705,FuriousProgrammer
115,703,kalven
116,699,Erik Godard
117,692,bovard
118,686,sguest
119,667,(anonymous user #380)
120,662,andreleblanc-wf
121,654,nick psaris
122,652,Paul Bereza
123,629,adventofcode2016
124,628,jt2k
125,627,farafonoff
126,619,rahulsom
127,610,(anonymous user #14246)
127,610,hlian
127,610,rennex
130,603,Jeremiah Simmons
131,588,Joel Harmon
131,588,bufordsharkley
133,585,vaultah
134,583,Thomas McConville
135,582,Aneurysm9
136,551,Jeff Raymakers
137,550,Erik Larsson
138,542,Eric Aderhold
139,541,Ian Su
140,538,Andrey Anurin
141,534,Stovoy
142,530,Adam Pianka
143,528,sblom
144,527,Peter Norvig
145,524,Lars Haulin
146,513,matthewd
147,509,jweather
147,509,Brent Yorgey
149,505,James Weinkam
150,500,BhuvanB
151,499,Luther Wirtz
152,491,nevivurn
153,489,daniel-wer
154,478,kejadlen
155,477,azvchen
156,471,Mathieu Plourde
157,461,Sean Curtis
158,455,Magne Groenhuis
158,455,uint0
160,451,(anonymous user #31658)
161,445,Sean Clarke
162,438,Daniel Lee
163,437,Adam Fitzgarrald
164,435,Max Jäger
165,425,fenomas
166,408,Jacob Dennerlein
167,405,Julien C
168,404,(anonymous user #148451)
169,398,Tom Dalling
170,391,jorendorff
171,380,Asish Mahapatra
172,379,NiXXeD
173,376,Neil Roberts
174,371,Sandra van Schouwenburg
175,366,Hypersonic
